iter	Passed	Remaining
0	161	80407
1	176	44015
2	190	31516
3	204	25303
4	218	21620
5	234	19274
6	246	17372
7	262	16145
8	275	15015
9	286	14058
10	297	13242
11	309	12597
12	323	12102
13	336	11669
14	353	11417
15	363	11001
16	374	10645
17	390	10467
18	410	10384
19	433	10402
20	451	10307
21	462	10056
22	474	9839
23	486	9651
24	496	9436
25	507	9246
26	520	9113
27	532	8975
28	544	8838
29	555	8707
30	568	8597
31	580	8493
32	591	8366
33	613	8405
34	629	8356
35	639	8248
36	651	8147
37	660	8034
38	669	7917
39	680	7830
40	689	7723
41	702	7662
42	719	7643
43	732	7591
44	748	7563
45	762	7521
46	773	7453
47	786	7407
48	800	7371
49	816	7352
50	830	7315
51	844	7276
52	858	7238
53	871	7200
54	885	7164
55	899	7130
56	912	7094
57	927	7067
58	944	7056
59	960	7040
60	972	6998
61	985	6958
62	997	6921
63	1012	6899
64	1036	6936
65	1055	6943
66	1068	6906
67	1082	6877
68	1097	6853
69	1110	6822
70	1123	6789
71	1134	6746
72	1149	6726
73	1163	6700
74	1176	6669
75	1189	6638
76	1201	6597
77	1213	6563
78	1225	6530
79	1237	6495
80	1249	6462
81	1262	6437
82	1275	6410
83	1289	6386
84	1302	6357
85	1313	6324
86	1326	6298
87	1340	6277
88	1357	6267
89	1372	6253
90	1387	6236
91	1400	6210
92	1413	6186
93	1425	6155
94	1438	6132
95	1449	6100
96	1461	6073
97	1475	6051
98	1487	6025
99	1499	5996
100	1510	5967
101	1526	5954
102	1545	5958
103	1564	5958
104	1577	5935
105	1596	5932
106	1610	5916
107	1621	5887
108	1634	5861
109	1646	5835
110	1657	5809
111	1672	5792
112	1685	5771
113	1698	5751
114	1707	5715
115	1717	5686
116	1727	5654
117	1737	5624
118	1748	5597
119	1757	5564
120	1768	5538
121	1778	5510
122	1787	5477
123	1798	5452
124	1807	5422
125	1817	5395
126	1829	5372
127	1839	5346
128	1851	5324
129	1863	5304
130	1878	5292
131	1895	5284
132	1911	5273
133	1926	5260
134	1943	5253
135	1962	5252
136	1977	5239
137	1995	5234
138	2010	5221
139	2023	5204
140	2036	5185
141	2051	5170
142	2064	5155
143	2079	5141
144	2094	5129
145	2114	5126
146	2133	5122
147	2158	5133
148	2179	5133
149	2198	5129
150	2221	5133
151	2241	5132
152	2256	5116
153	2272	5106
154	2284	5084
155	2296	5064
156	2309	5046
157	2323	5028
158	2337	5013
159	2350	4994
160	2363	4976
161	2377	4960
162	2391	4943
163	2404	4926
164	2419	4911
165	2435	4900
166	2453	4891
167	2465	4871
168	2476	4849
169	2491	4837
170	2506	4821
171	2519	4804
172	2529	4780
173	2541	4761
174	2554	4743
175	2569	4730
176	2582	4712
177	2593	4690
178	2607	4675
179	2619	4656
180	2630	4636
181	2642	4616
182	2656	4601
183	2670	4586
184	2683	4568
185	2694	4549
186	2706	4529
187	2718	4510
188	2731	4493
189	2748	4484
190	2759	4463
191	2770	4444
192	2782	4426
193	2793	4406
194	2804	4386
195	2815	4367
196	2826	4347
197	2836	4326
198	2848	4309
199	2857	4286
200	2867	4265
201	2878	4246
202	2887	4224
203	2900	4208
204	2912	4191
205	2923	4172
206	2934	4153
207	2946	4136
208	2963	4125
209	2977	4111
210	2996	4104
211	3010	4089
212	3025	4076
213	3037	4059
214	3052	4046
215	3068	4033
216	3084	4022
217	3097	4006
218	3109	3989
219	3125	3977
220	3138	3962
221	3151	3946
222	3168	3935
223	3182	3921
224	3195	3905
225	3211	3893
226	3223	3876
227	3235	3860
228	3247	3843
229	3264	3831
230	3277	3816
231	3290	3800
232	3302	3784
233	3314	3767
234	3330	3755
235	3341	3738
236	3358	3726
237	3372	3712
238	3384	3696
239	3396	3679
240	3409	3664
241	3425	3651
242	3440	3638
243	3454	3624
244	3466	3607
245	3478	3591
246	3493	3578
247	3509	3565
248	3523	3551
249	3539	3539
250	3560	3532
251	3577	3520
252	3590	3505
253	3605	3492
254	3621	3479
255	3637	3466
256	3658	3459
257	3681	3453
258	3708	3451
259	3724	3438
260	3737	3422
261	3750	3407
262	3762	3390
263	3776	3375
264	3791	3362
265	3804	3346
266	3818	3331
267	3829	3315
268	3841	3298
269	3854	3283
270	3871	3271
271	3885	3257
272	3897	3240
273	3908	3223
274	3918	3206
275	3930	3190
276	3945	3175
277	3955	3158
278	3968	3143
279	3980	3127
280	3990	3110
281	4003	3094
282	4015	3078
283	4025	3061
284	4036	3044
285	4048	3029
286	4064	3016
287	4079	3002
288	4094	2989
289	4111	2977
290	4132	2968
291	4151	2957
292	4166	2943
293	4181	2929
294	4203	2920
295	4218	2907
296	4234	2894
297	4247	2879
298	4261	2864
299	4277	2851
300	4299	2842
301	4313	2828
302	4325	2812
303	4339	2797
304	4350	2781
305	4364	2767
306	4378	2752
307	4392	2738
308	4405	2723
309	4422	2710
310	4435	2695
311	4448	2680
312	4463	2666
313	4476	2651
314	4488	2636
315	4502	2621
316	4516	2607
317	4529	2592
318	4554	2584
319	4573	2572
320	4592	2560
321	4611	2549
322	4626	2535
323	4640	2521
324	4653	2505
325	4667	2491
326	4679	2475
327	4691	2459
328	4705	2445
329	4718	2430
330	4728	2414
331	4741	2399
332	4755	2384
333	4768	2370
334	4784	2356
335	4798	2341
336	4812	2327
337	4824	2312
338	4836	2297
339	4849	2282
340	4862	2267
341	4876	2253
342	4887	2237
343	4900	2222
344	4915	2208
345	4928	2193
346	4947	2181
347	4966	2169
348	4982	2155
349	4996	2141
350	5009	2126
351	5020	2110
352	5031	2095
353	5043	2080
354	5055	2065
355	5065	2049
356	5078	2034
357	5090	2019
358	5099	2002
359	5113	1988
360	5126	1973
361	5139	1959
362	5151	1944
363	5164	1929
364	5180	1916
365	5196	1902
366	5210	1888
367	5228	1875
368	5241	1860
369	5255	1846
370	5274	1833
371	5288	1819
372	5303	1805
373	5321	1792
374	5350	1783
375	5382	1775
376	5404	1763
377	5429	1752
378	5446	1738
379	5461	1724
380	5476	1710
381	5491	1696
382	5516	1685
383	5536	1672
384	5551	1658
385	5566	1644
386	5583	1630
387	5598	1616
388	5615	1602
389	5632	1588
390	5648	1574
391	5677	1564
392	5699	1551
393	5727	1540
394	5749	1528
395	5782	1518
396	5809	1507
397	5826	1493
398	5841	1478
399	5860	1465
400	5876	1450
401	5889	1435
402	5904	1421
403	5916	1405
404	5929	1390
405	5941	1375
406	5953	1360
407	5964	1344
408	5978	1330
409	5992	1315
410	6008	1301
411	6024	1286
412	6040	1272
413	6074	1261
414	6109	1251
415	6134	1238
416	6151	1224
417	6165	1209
418	6179	1194
419	6190	1179
420	6215	1166
421	6230	1151
422	6240	1135
423	6256	1121
424	6270	1106
425	6282	1091
426	6296	1076
427	6310	1061
428	6321	1046
429	6336	1031
430	6352	1016
431	6366	1002
432	6380	987
433	6394	972
434	6408	957
435	6426	943
436	6437	928
437	6455	913
438	6469	898
439	6495	885
440	6514	871
441	6530	856
442	6546	842
443	6563	827
444	6624	818
445	6662	806
446	6680	792
447	6698	777
448	6716	762
449	6731	747
450	6744	732
451	6757	717
452	6772	702
453	6782	687
454	6795	672
455	6810	657
456	6823	642
457	6843	627
458	6862	613
459	6881	598
460	6899	583
461	6913	568
462	6926	553
463	6941	538
464	6957	523
465	6970	508
466	6985	493
467	6995	478
468	7009	463
469	7032	448
470	7043	433
471	7055	418
472	7067	403
473	7079	388
474	7090	373
475	7101	358
476	7113	343
477	7124	327
478	7136	312
479	7150	297
480	7163	282
481	7173	267
482	7184	252
483	7194	237
484	7203	222
485	7213	207
486	7224	192
487	7235	177
488	7247	163
489	7257	148
490	7267	133
491	7278	118
492	7287	103
493	7298	88
494	7309	73
495	7319	59
496	7330	44
497	7339	29
498	7350	14
499	7360	0
